station_id,capacity,hour,day_of_week,is_weekend,is_peak_hour,avg_temp,avg_humidity,max_barometric_pressure_hpa,num_bikes_available
65,40,0,6,1,0,13.925,84.25,1002.47,3
67,40,0,6,1,0,13.925,84.25,1002.47,15
68,40,0,6,1,0,13.925,84.25,1002.47,11
69,40,0,6,1,0,13.925,84.25,1002.47,16
71,40,0,6,1,0,13.925,84.25,1002.47,11
72,31,0,6,1,0,13.925,84.25,1002.47,10
73,30,0,6,1,0,13.925,84.25,1002.47,8
74,30,0,6,1,0,13.925,84.25,1002.47,6
8,30,0,6,1,0,13.925,84.25,1002.47,15
80,40,0,6,1,0,13.925,84.25,1002.47,28
83,40,0,6,1,0,13.925,84.25,1002.47,35
84,30,0,6,1,0,13.925,84.25,1002.47,25
85,35,0,6,1,0,13.925,84.25,1002.47,24
88,30,0,6,1,0,13.925,84.25,1002.47,21
89,40,0,6,1,0,13.925,84.25,1002.47,0
9,24,0,6,1,0,13.925,84.25,1002.47,7
90,40,0,6,1,0,13.925,84.25,1002.47,8
91,30,0,6,1,0,13.925,84.25,1002.47,30
93,40,0,6,1,0,13.925,84.25,1002.47,36
94,40,0,6,1,0,13.925,84.25,1002.47,40
95,40,0,6,1,0,13.925,84.25,1002.47,17
97,40,0,6,1,0,13.925,84.25,1002.47,26
98,40,0,6,1,0,13.925,84.25,1002.47,26
1,31,0,6,1,0,13.855,84.7,1002.48,20
10,16,0,6,1,0,13.855,84.7,1002.48,12
100,25,0,6,1,0,13.855,84.7,1002.48,17
101,30,0,6,1,0,13.855,84.7,1002.48,9
102,40,0,6,1,0,13.855,84.7,1002.48,2
103,40,0,6,1,0,13.855,84.7,1002.48,0
104,40,0,6,1,0,13.855,84.7,1002.48,0
105,36,0,6,1,0,13.855,84.7,1002.48,0
106,40,0,6,1,0,13.855,84.7,1002.48,1
107,40,0,6,1,0,13.855,84.7,1002.48,0
108,35,0,6,1,0,13.855,84.7,1002.48,2
109,29,0,6,1,0,13.855,84.7,1002.48,20
11,30,0,6,1,0,13.855,84.7,1002.48,1
110,40,0,6,1,0,13.855,84.7,1002.48,2
111,40,0,6,1,0,13.855,84.7,1002.48,4
112,30,0,6,1,0,13.855,84.7,1002.48,5
113,40,0,6,1,0,13.855,84.7,1002.48,22
114,40,0,6,1,0,13.855,84.7,1002.48,6
115,30,0,6,1,0,13.855,84.7,1002.48,22
116,30,0,6,1,0,13.855,84.7,1002.48,2
117,40,0,6,1,0,13.855,84.7,1002.48,1
12,20,0,6,1,0,13.855,84.7,1002.48,3
13,30,0,6,1,0,13.855,84.7,1002.48,0
14,30,0,6,1,0,13.855,84.7,1002.48,18
15,16,0,6,1,0,13.855,84.7,1002.48,2
16,20,0,6,1,0,13.855,84.7,1002.48,19
17,20,0,6,1,0,13.855,84.7,1002.48,3
18,30,0,6,1,0,13.855,84.7,1002.48,9
19,30,0,6,1,0,13.855,84.7,1002.48,4
2,20,0,6,1,0,13.855,84.7,1002.48,5
20,30,0,6,1,0,13.855,84.7,1002.48,0
21,30,0,6,1,0,13.855,84.7,1002.48,11
22,20,0,6,1,0,13.855,84.7,1002.48,7
23,30,0,6,1,0,13.855,84.7,1002.48,27
24,20,0,6,1,0,13.855,84.7,1002.48,15
25,30,0,6,1,0,13.855,84.7,1002.48,4
26,20,0,6,1,0,13.855,84.7,1002.48,13
27,20,0,6,1,0,13.855,84.7,1002.48,12
28,30,0,6,1,0,13.855,84.7,1002.48,5
29,29,0,6,1,0,13.855,84.7,1002.48,24
3,20,0,6,1,0,13.855,84.7,1002.48,14
30,20,0,6,1,0,13.855,84.7,1002.48,0
31,20,0,6,1,0,13.855,84.7,1002.48,2
32,30,0,6,1,0,13.855,84.7,1002.48,11
33,23,0,6,1,0,13.855,84.7,1002.48,21
34,30,0,6,1,0,13.855,84.7,1002.48,0
35,30,0,6,1,0,13.855,84.7,1002.48,18
36,40,0,6,1,0,13.855,84.7,1002.48,21
37,30,0,6,1,0,13.855,84.7,1002.48,10
38,40,0,6,1,0,13.855,84.7,1002.48,29
39,20,0,6,1,0,13.855,84.7,1002.48,3
4,20,0,6,1,0,13.855,84.7,1002.48,11
40,21,0,6,1,0,13.855,84.7,1002.48,15
41,20,0,6,1,0,13.855,84.7,1002.48,7
42,30,0,6,1,0,13.855,84.7,1002.48,7
43,30,0,6,1,0,13.855,84.7,1002.48,1
44,30,0,6,1,0,13.855,84.7,1002.48,7
45,30,0,6,1,0,13.855,84.7,1002.48,29
47,40,0,6,1,0,13.855,84.7,1002.48,5
48,40,0,6,1,0,13.855,84.7,1002.48,13
49,40,0,6,1,0,13.855,84.7,1002.48,14
5,40,0,6,1,0,13.855,84.7,1002.48,4
50,40,0,6,1,0,13.855,84.7,1002.48,15
51,40,0,6,1,0,13.855,84.7,1002.48,0
52,32,0,6,1,0,13.855,84.7,1002.48,27
53,40,0,6,1,0,13.855,84.7,1002.48,7
54,33,0,6,1,0,13.855,84.7,1002.48,14
55,36,0,6,1,0,13.855,84.7,1002.48,2
56,40,0,6,1,0,13.855,84.7,1002.48,34
57,23,0,6,1,0,13.855,84.7,1002.48,2
58,40,0,6,1,0,13.855,84.7,1002.48,8
59,20,0,6,1,0,13.855,84.7,1002.48,0
6,20,0,6,1,0,13.855,84.7,1002.48,13
60,30,0,6,1,0,13.855,84.7,1002.48,2
61,25,0,6,1,0,13.855,84.7,1002.48,1
62,40,0,6,1,0,13.855,84.7,1002.48,8
63,35,0,6,1,0,13.855,84.7,1002.48,14
64,40,0,6,1,0,13.855,84.7,1002.48,17
65,40,0,6,1,0,13.855,84.7,1002.48,3
66,40,0,6,1,0,13.855,84.7,1002.48,23
67,40,0,6,1,0,13.855,84.7,1002.48,15
68,40,0,6,1,0,13.855,84.7,1002.48,12
69,40,0,6,1,0,13.855,84.7,1002.48,17
7,29,0,6,1,0,13.855,84.7,1002.48,10
71,40,0,6,1,0,13.855,84.7,1002.48,11
72,31,0,6,1,0,13.855,84.7,1002.48,10
73,30,0,6,1,0,13.855,84.7,1002.48,8
74,30,0,6,1,0,13.855,84.7,1002.48,6
75,40,0,6,1,0,13.855,84.7,1002.48,14
76,38,0,6,1,0,13.855,84.7,1002.48,14
77,29,0,6,1,0,13.855,84.7,1002.48,27
78,40,0,6,1,0,13.855,84.7,1002.48,1
79,27,0,6,1,0,13.855,84.7,1002.48,0
8,30,0,6,1,0,13.855,84.7,1002.48,15
80,40,0,6,1,0,13.855,84.7,1002.48,28
82,22,0,6,1,0,13.855,84.7,1002.48,10
83,40,0,6,1,0,13.855,84.7,1002.48,35
84,30,0,6,1,0,13.855,84.7,1002.48,25
85,35,0,6,1,0,13.855,84.7,1002.48,24
86,38,0,6,1,0,13.855,84.7,1002.48,28
87,38,0,6,1,0,13.855,84.7,1002.48,32
88,30,0,6,1,0,13.855,84.7,1002.48,21
